"filename", "language", "XML", "JavaScript", "CSS", "SCSS", "comment", "blank", "total"
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/mixins/_page-header.scss", "SCSS", 0, 0, 0, 7, 0, 1, 8
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/mixins/_transparency.scss", "SCSS", 0, 0, 0, 5, 2, 2, 9
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/mixins/_vendor-prefixes.scss", "SCSS", 0, 0, 0, 204, 0, 25, 229
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/plugins/_plugin-animate-bootstrap-notify.scss", "SCSS", 0, 0, 0, 153, 7, 68, 228
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/plugins/_plugin-perfect-scrollbar.scss", "SCSS", 0, 0, 0, 104, 9, 1, 114
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/react/custom/_alerts.scss", "SCSS", 0, 0, 0, 14, 0, 1, 15
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/react/custom/_buttons.scss", "SCSS", 0, 0, 0, 38, 0, 1, 39
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/react/custom/_checkboxes-radio.scss", "SCSS", 0, 0, 0, 48, 0, 2, 50
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/react/custom/_dropdown.scss", "SCSS", 0, 0, 0, 3, 0, 1, 4
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/react/custom/_fixed-plugin.scss", "SCSS", 0, 0, 0, 146, 0, 3, 149
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/react/custom/_inputs.scss", "SCSS", 0, 0, 0, 6, 0, 2, 8
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/react/custom/_navbar.scss", "SCSS", 0, 0, 0, 26, 0, 1, 27
